subject,frobenius_quality,self,neighbors,others
sub-111716,0.8968487617397302,0.7625698324022346,0.20391061452513967,0.0335195530726257
sub-103818,0.9361934236494952,0.776536312849162,0.12011173184357542,0.10335195530726257
sub-105115,0.738192813686637,0.3268156424581006,0.5642458100558659,0.10893854748603352
sub-113619,0.9743230357610609,0.8631284916201117,0.05865921787709497,0.0782122905027933
sub-115320,0.9493747299111676,0.8268156424581006,0.11173184357541899,0.061452513966480445
sub-103414,0.8904806761874265,0.8435754189944135,0.0893854748603352,0.0670391061452514
sub-111514,0.8173276297816638,0.26536312849162014,0.6452513966480447,0.0893854748603352
sub-100206,0.8934208214149784,0.7039106145251397,0.19832402234636873,0.09776536312849161
sub-119126,0.8802275601992195,0.723463687150838,0.1871508379888268,0.0893854748603352
sub-113821,0.9917180355729205,0.952513966480447,0.00558659217877095,0.04189944134078212
sub-107422,0.8834566888412696,0.611731843575419,0.30726256983240224,0.08100558659217877
sub-120515,0.8986823147472939,0.8128491620111732,0.12290502793296089,0.06424581005586592
sub-108121,0.9743869681166393,0.8798882681564246,0.0782122905027933,0.04189944134078212
sub-117930,0.8073167307261264,0.4888268156424581,0.4441340782122905,0.0670391061452514
sub-112819,0.6856038129153186,0.5502793296089385,0.39106145251396646,0.05865921787709497
sub-102816,0.9713248726502256,0.9162011173184358,0.05027932960893855,0.0335195530726257
sub-116423,0.7659017873174759,0.3128491620111732,0.5111731843575419,0.17597765363128492
sub-119833,0.9807893337260388,0.8938547486033519,0.055865921787709494,0.05027932960893855
sub-116221,0.9427632393930081,0.729050279329609,0.19553072625698323,0.07541899441340782
sub-114318,0.8651592699813799,0.5810055865921788,0.3324022346368715,0.08659217877094973
sub-108323,0.9664906987198011,0.776536312849162,0.1340782122905028,0.0893854748603352
sub-118528,0.9934398424667519,0.9357541899441341,0.013966480446927373,0.05027932960893855
sub-102008,0.9982372220150078,0.9581005586592178,0.002793296089385475,0.03910614525139665
sub-103111,0.9546998302814991,0.8463687150837989,0.0782122905027933,0.07541899441340782
sub-115017,0.9963655620140485,0.9357541899441341,0.01675977653631285,0.04748603351955307
sub-117324,0.9285701852591404,0.7458100558659218,0.16201117318435754,0.09217877094972067
sub-101410,0.9382439178011169,0.6368715083798883,0.2988826815642458,0.06424581005586592
sub-118730,1.003146350140668,0.946927374301676,0.013966480446927373,0.03910614525139665
sub-113922,0.8373896952658508,0.5363128491620112,0.36312849162011174,0.1005586592178771
sub-107725,0.992254530608442,0.9217877094972067,0.027932960893854747,0.05027932960893855
sub-115825,0.9322635878388904,0.88268156424581,0.07262569832402235,0.0446927374301676
sub-119025,0.8607736289478851,0.6061452513966481,0.25139664804469275,0.1424581005586592
sub-112314,1.0006181087868344,0.9497206703910615,0.0111731843575419,0.03910614525139665
sub-120010,0.9180139575772397,0.6843575418994413,0.2569832402234637,0.05865921787709497
sub-106521,0.925194689726148,0.776536312849162,0.11731843575418995,0.10614525139664804
sub-108828,0.869244564038185,0.4441340782122905,0.5391061452513967,0.01675977653631285
sub-102715,0.8783321040204655,0.611731843575419,0.2988826815642458,0.0893854748603352
sub-104416,1.0001969895761444,0.9273743016759777,0.027932960893854747,0.0446927374301676
sub-110613,0.770489633826478,0.2709497206703911,0.5893854748603352,0.13966480446927373
sub-112516,0.9987636876627236,0.8938547486033519,0.030726256983240222,0.07541899441340782
sub-114823,0.9694124906057591,0.8519553072625698,0.07262569832402235,0.07541899441340782
sub-120212,0.9439768728257285,0.7094972067039106,0.19832402234636873,0.09217877094972067
sub-114419,0.8986077212824534,0.5335195530726257,0.39106145251396646,0.07541899441340782
sub-110411,0.8962118145376561,0.8016759776536313,0.15363128491620112,0.0446927374301676
sub-101107,0.8943951031738632,0.7122905027932961,0.19273743016759776,0.09497206703910614
sub-118023,0.937161730676398,0.7402234636871509,0.17039106145251395,0.0893854748603352
sub-113215,0.9765858373893875,0.9162011173184358,0.055865921787709494,0.027932960893854747
sub-100408,1.0077586336112154,0.9022346368715084,0.025139664804469275,0.07262569832402235
